PipelineRange,CurrentOppAmt,IsWon,QualifiedAmt,OwnerTitle,SalesOffice,SalesRegion,Industry,NumerOfEmployees,AccountScore,OppId,IsClosed,DaysPushed,MonthsOpen,OppClosedDate
p10-12,1270,0,1270,Senior Account Executive,Hartford,New England,Technology,9074,100,0062S00000xK63UQAS,0,0,3,12/22/2021
p0-3,85,0,NULL,Enterprise Account Executive,Enterprise,Enterprise,Computer Software,1300,66,0062S00000xJtOPQA0,0,90,3,3/31/2021
p0-3,88,0,NULL,Senior Account Executive,Tampa,Southern,Education,1311,47,0064400000mp4DIAAY,1,0,2,4/22/2018
p7-9,1168,1,950,Senior Account Executive,Oklahoma City,Rocky Mountain,Public Schools K-12,14,37,0064400000mp5e0AAA,1,0,7,9/1/2018
p4-6,100,0,100,Senior Account Executive,Atlanta,Southern,Retail,8800,76,0064400000mp5qkAAA,1,81,6,8/2/2018
p4-6,314,0,NULL,NULL,Atlanta,Southern,Retail,434,30,0064400000mp5XOAAY,1,170,6,8/17/2018
p7-9,452,0,200,Senior Account Executive,Raleigh,Coastal,Healthcare,6000,85,0064400000mp6kxAAA,1,245,9,11/30/2018
p0-3,1322.4,1,300,Director of Channel Sales,Enterprise,Enterprise,Technology,350,46,0064400000mp6wAAAQ,1,19,0,2/20/2018
p0-3,5262,0,5262,Senior Account Executive,Partnership,Channel Sales,Education,3600,49,0064400000mp71oAAA,1,0,2,4/3/2018
p7-9,1600,0,2600,Senior Account Executive,Louisville,Coastal,Healthcare,9775,61,0064400000mp7tWAAQ,1,253,9,11/7/2018
p13+,1600,0,1600,Account Executive,Atlanta,Southern,Energy,6000,60,0064400000mp8DqAAI,1,792,27,5/31/2020
p0-3,6497,0,NULL,Hardware Consultant/Sales,Support,Customer Success,Education,40,26,0064400000mp8f8AAA,1,0,0,2/26/2018
p0-3,50,1,NULL,Senior Account Executive,Enterprise,Enterprise,Other,28000,27,0064400000mp9zbAAA,1,0,0,2/1/2018
p7-9,500,0,500,Senior Account Executive,Dallas,Red River,Healthcare,1500,54,0064400000mo9wsAAA,1,193,9,10/10/2018
p0-3,450,1,403,Senior Account Executive,Long Island,New York,Insurance,12150,96,0064400000moAeVAAU,1,16,1,2/2/2018
p0-3,2088,0,NULL,Hardware Consultant/Sales,Support,Customer Success,Manufacturing,2000,67,0064400000moafyAAA,1,0,1,2/16/2018
p0-3,363,1,363,Senior Account Executive,Denver,Rocky Mountain,Consulting,5000,79,0064400000moAlvAAE,1,0,2,3/1/2018
p0-3,240,1,240,Senior Account Executive,Enterprise,Enterprise,Transportation,1130,47,0064400000moax9AAA,1,29,0,1/30/2018
p0-3,2614,0,2614,Senior Account Executive,Long Island,New York,Insurance,12150,96,0064400000moaxJAAQ,1,0,3,4/13/2018
p0-3,459,1,200,NULL,Chicago Loop,Central,Consulting,230,30,0064400000mobCEAAY,1,29,0,1/30/2018
p13+,500,0,500,Account Executive,St Louis,Central,Telecommunications,12,28,0064400000mobo8AAA,1,945,33,10/31/2020
p10-12,2000,0,2000,Senior Account Executive & Internal Sales Coach,Grand Rapids,Mid Western,Hospitality,500,15,0064400000mocbKAAQ,1,0,12,1/31/2019
p0-3,218.5,1,1,Senior Account Executive,Enterprise,Enterprise,Transportation,1603,21,0064400000p0v2sAAA,1,17,0,4/30/2018
p0-3,798,0,NULL,Senior Account Executive,Richmond,Coastal,Transportation,900,37,0064400000p0VswAAE,1,0,0,3/23/2018
p0-3,422,1,422,Senior Account Executive,Dallas,Red River,"Electricity, Oil & Gas",30,24,0064400000p0W2SAAU,1,0,0,3/28/2018
p0-3,1040,1,50,NULL,Richmond,Coastal,Not For Profit,4686,47,0064400000p0WHrAAM,1,20,3,6/7/2018
p4-6,282,0,519,NULL,Washington DC,Mid Atlantic,Financial Services,5000,81,0064400000p0xppAAA,1,120,5,9/28/2018
p0-3,250,1,250,Senior Account Executive,Partnership,Channel Sales,Insurance,175,40,0064400000p0xqJAAQ,1,17,0,4/18/2018
p4-6,500,0,500,Senior Account Executive,Birmingham,Southern,Government,625,33,0064400000p0xVBAAY,1,120,5,9/28/2018
p0-3,14060,0,NULL,Hardware Consultant/Sales,Grand Rapids,Mid Western,Finance,1147,29,0064400000p0XyNAAU,1,0,1,4/27/2018
p4-6,3550,0,NULL,Hardware Consultant/Sales,Grand Rapids,Mid Western,Retail,85,21,0064400000mptGzAAI,1,102,4,7/11/2018
p13+,150,0,150,Senior Account Executive,Chicago,Central,Education,1988,47,0064400000mpTHdAAM,1,273,20,10/31/2019
p13+,2000,0,2000,Senior Account Executive,Miami,Southern,Shipping,168000,93,0064400000mpuSwAAI,1,0,20,11/30/2019
p7-9,3163,1,7800,NULL,Cleveland,Mid Western,Healthcare,7406,70,0064400000mpVcSAAU,1,52,7,9/21/2018
p4-6,150,0,325,Senior Account Executive,Birmingham,Southern,Education,589,35,0064400000mpVexAAE,1,62,4,6/1/2018
p0-3,500,0,500,Senior Account Executive,Phoenix,Rocky Mountain,Manufacturing,1000,51,0064400000mpvfIAAQ,1,0,0,3/15/2018
p4-6,145,0,2935,Senior Account Executive,Tampa,Southern,Other,356,22,0064400000mpVqPAAU,1,27,5,7/27/2018
p0-3,2435,1,2435,Internal Accounts Manager,Support,Customer Success,Insurance,50,57,0064400000pkM3FAAU,1,11,0,9/12/2018
p13+,1000,0,1000,Senior Account Executive,Kansas City,Rocky Mountain,Legal Services,1200,58,0064400000pkMcPAAU,1,605,20,5/27/2020
p0-3,1,0,1,Senior Account Executive,Charlotte,Coastal,Healthcare,519,40,0064400000pkNdYAAU,1,0,0,9/30/2018
p4-6,500,0,500,Senior Account Executive,Newark,New York,Technology,50,23,0064400000pkNRXAA2,1,32,5,2/1/2019
p0-3,1335,0,NULL,Director of Channel Sales,Enterprise,Enterprise,Education,7856,41,0064400000pkOjZAAU,1,0,1,10/31/2018
p0-3,1485,1,500,Senior Account Executive,Chicago Loop,Central,Finance,520,71,0064400000pkPAQAA2,1,8,1,10/9/2018
p13+,16802,0,10000,Senior Account Executive,St Louis,Central,Consulting,6900,95,0064400000p1ZIZAA2,1,488,17,10/31/2019
p7-9,55,0,NULL,Senior Account Executive,Milwaukee,Central,Retail,23000,32,0064400000pjo2NAAQ,1,182,7,3/1/2019
p0-3,1931.61,1,225,Senior Account Executive,Charlotte,Coastal,Retail,22000,76,0064400000q1SF3AAM,1,0,1,7/31/2018
p0-3,1,0,1,Senior Account Executive,Enterprise,Enterprise,Manufacturing,7700,57,0064400000q1SmRAAU,1,0,0,6/27/2018
p0-3,59,0,50,Senior Account Executive,Nashville,Coastal,Technology,40,28,0064400000q1soXAAQ,1,61,2,9/30/2018
p13+,500,0,500,NULL,Grand Rapids,Mid Western,Education Sector,972,39,0064400000q1t5OAAQ,0,1018,32,7/14/2021
p7-9,184,0,184,Senior Account Executive,Long Island,New York,Insurance,12150,96,0064400000q1TCoAAM,1,133,8,2/1/2019
p4-6,500,0,NULL,Senior Account Executive,Minneapolis,Central,Education,0,55,0064400000q1TH5AAM,1,30,5,11/30/2018
p0-3,500,0,500,Senior Account Executive,Enterprise,Enterprise,Electronics,450,34,0064400000q1thIAAQ,1,0,1,8/27/2018
p4-6,500,0,500,Senior Account Executive,Minneapolis,Central,Manufacturing,579,41,0064400000q1TKsAAM,1,142,5,11/19/2018
p0-3,699.3,1,NULL,Senior Account Executive,Enterprise,Enterprise,Electronics,63,24,0064400000q1tv2AAA,1,0,0,7/1/2018
p13+,2600,0,500,Senior Account Executive,Atlanta,Southern,Finance,3700,50,0064400000q1u0tAAA,1,426,15,10/31/2019
p0-3,13,1,NULL,Senior Account Executive,St Louis,Central,Other,600,42,0064400000pjoj2AAA,1,14,0,8/15/2018
p13+,250,0,250,Account Executive,Inside Sales,SMB,Technology,128,30,0064400000pjp7iAAA,1,2314,88,12/31/2025
p0-3,203,1,203,NULL,Memphis,Coastal,Retail,3000,26,0064400000pjpbcAAA,1,19,0,8/20/2018
p13+,229,0,500,Account Executive,Inside Sales,SMB,Wholesale Sector,505,37,0064400000pjplNAAQ,1,277,13,9/30/2019
p0-3,172,1,150,Sales & Contract Support Specialist,Grand Rapids,Mid Western,Telecommunications,170,29,0064400000pjpP8AAI,1,75,3,11/6/2018
p0-3,2268.27,1,2439,Senior Account Executive,Houston,Red River,Other,854,24,0064400000pjpx4AAA,1,0,1,9/1/2018
p7-9,300,0,300,Internal Accounts Manager,Support,Customer Success,Manufacturing,895,53,0064400000pjqP8AAI,1,212,7,3/31/2019
p0-3,2265,0,500,Senior Account Executive,Long Island,New York,Technology,400,41,0064400000pjrb8AAA,1,30,1,9/30/2018
p13+,1200,0,1200,Customer Success Manager,Support,Customer Success,Other,7,15,0064400000pjrFMAAY,0,1987,31,2/29/2024
p10-12,1500,0,1500,Senior Account Executive,Tampa,Southern,Healthcare,4200,70,0064400000pjtPcAAI,1,31,12,8/31/2019
p4-6,1000,0,1000,Senior Account Executive,Tampa,Southern,Education,5500,24,0064400000pjtPDAAY,1,151,6,2/28/2019
p0-3,1398,0,5000,Senior Account Executive,Phoenix,Rocky Mountain,Technology,5,23,0064400000mpwxSAAQ,1,31,1,4/12/2018
p0-3,55,1,55,Senior Account Executive,Enterprise,Enterprise,Manufacturing,95,24,0064400000mpXApAAM,1,6,1,3/7/2018
p13+,325,1,325,Account Executive,Inside Sales,SMB,Manufacturing,378,26,0064400000mpXhQAAU,1,901,37,3/19/2021
p0-3,13,0,NULL,Director of Channel Sales,Enterprise,Enterprise,Telecom / Communication Services,144500,94,0064400000mpyvDAAQ,1,0,2,5/31/2018
p4-6,1000,0,1000,Senior Account Executive,Support,Customer Success,Insurance,47300,96,0064400000p0YlrAAE,1,12,4,7/9/2018
p0-3,500,0,500,Director of Channel Sales,Partnership,Channel Sales,Telecom / Communication Services,144500,94,0064400000p0zbtAAA,1,94,3,7/23/2018
p0-3,1475,1,1000,Senior Account Executive,San Antonio,Red River,Software Development & Design,1700,63,0064400000p0nSWAAY,1,3,1,5/4/2018
p0-3,78,1,100,NULL,Cleveland,Mid Western,Technology,5,23,0064400000p0oLRAAY,1,0,0,4/10/2018
p13+,500,0,500,Senior Account Executive,Dallas,Red River,Education,10684,93,0064400000p0phJAAQ,1,196,13,5/15/2019
p0-3,1130,0,500,Senior Account Executive,Richmond,Coastal,Government,0,58,0064400000p0UHTAA2,1,39,3,6/5/2018
p13+,71,0,NULL,Hardware Consultant/Sales,Denver,Rocky Mountain,Healthcare,7406,70,0064400000p0UpYAAU,1,579,19,10/31/2019
p4-6,1400,0,1400,Regional Sales Team Lead,Atlanta,Southern,Utilities,700,68,0064400000mocEGAAY,1,60,4,5/30/2018
p0-3,132,1,NULL,Senior Account Executive,Cleveland,Mid Western,Consulting,60,24,0064400000moDEzAAM,1,0,0,1/1/2018
p13+,11218,0,8000,Senior Account Executive,Raleigh,Coastal,Technology,686,53,0064400000modZ5AAI,1,699,23,12/31/2019
p0-3,15159,1,501,NULL,Richmond,Coastal,Transportation,14000,93,0064400000moeKuAAI,1,9,1,2/9/2018
p0-3,297,1,500,Senior Account Executive,Louisville,Coastal,Manufacturing,100,24,0064400000moeoBAAQ,1,0,0,1/31/2018
p7-9,500,0,500,Senior Account Executive,Atlanta,Southern,Consulting,175,30,0064400000moetaAAA,1,0,7,8/2/2018
p13+,500,0,500,Senior Account Executive,Raleigh,Coastal,Government,530,35,0064400000moEZBAA2,1,608,22,11/29/2019
p0-3,34,0,500,Senior Account Executive,Enterprise,Enterprise,Retail,65000,94,0064400000moJHqAAM,1,0,3,4/10/2018
p10-12,500,0,500,Senior Account Executive,Richmond,Coastal,Retail,24000,87,0064400000mojoSAAQ,1,45,10,11/30/2018
p10-12,2000,0,2000,Senior Account Executive,Houston,Red River,Technology,6900,28,0064400000mojyrAAA,1,302,12,1/26/2019
p0-3,1702,1,1702,Senior Account Executive,Raleigh,Coastal,Healthcare,6000,85,0064400000moJZzAAM,1,17,0,1/18/2018
p0-3,620,1,500,Senior Account Executive,Enterprise,Enterprise,Manufacturing,487,48,0064400000moK2oAAE,1,45,2,3/29/2018
p0-3,336,1,NULL,Senior Account Executive,Birmingham,Southern,Healthcare,2250,50,0064400000moK7tAAE,1,0,0,1/1/2018
p0-3,1,0,1,Senior Account Executive,Birmingham,Southern,Healthcare,2250,50,0064400000molAjAAI,1,0,1,2/9/2018
p0-3,190,0,500,Senior Account Executive,Pittsburgh,Mid Atlantic,Education,612,49,0064400000molIaAAI,1,0,1,2/27/2018
p0-3,10182,0,3000,Senior Account Executive,Oklahoma City,Rocky Mountain,Legal Services,719,39,0062S00000xJUeUQAW,1,47,3,2/16/2021
p0-3,500,0,NULL,Hardware Consultant/Sales,Denver,Rocky Mountain,Education,3000,49,0062S00000xJuNsQAK,1,55,2,2/24/2021
p4-6,1968,0,1000,Senior Account Executive,Nashville,Coastal,Consulting,4300,91,0062S00000xJv6NQAS,0,0,3,6/30/2021
p4-6,500,0,500,Senior Account Executive,Chicago,Central,Entertainment,830,31,0062S00000xJv8YQAS,0,181,3,6/30/2021
p0-3,1951,0,2697,Senior Account Executive,Chicago,Central,Technology,9000,85,0062S00000xJVfdQAG,1,84,3,2/22/2021
p10-12,1347,0,500,Senior Account Executive,Los Angeles,SoCal,Hospitals,19512,98,0062S00000xJVFzQAO,0,304,4,9/30/2021
p0-3,574,0,500,Senior Account Executive,Newark,New York,Manufacturing,1500,67,0062S00000xJvqVQAS,1,0,1,1/14/2021
p7-9,800,0,NULL,Senior Account Executive,Kansas City,Rocky Mountain,Banking,1000,52,0062S00000xJvqzQAC,0,0,3,9/30/2021
p0-3,81,1,0,Senior Channel Account Manager,Partnership,Channel Sales,Other,85,28,0062S00000xJoHOQA0,1,0,1,1/20/2021
p0-3,1000,0,1000,Senior Account Executive,Charlotte,Coastal,Insurance,52000,96,0062S00000xJomvQAC,1,40,2,2/9/2021
p10-12,500,0,500,Senior Account Executive,Salt Lake City,Rocky Mountain,Gas Stations,2900,66,0062S00000xJOSSQA4,0,0,5,10/31/2021
p7-9,1000,0,1000,Senior Account Executive,Denver,Rocky Mountain,Manufacturing - Durables,157,57,0062S00000xJP1NQAW,0,181,5,6/30/2021
p7-9,500,0,500,Senior Account Executive,Denver,Rocky Mountain,Other,2002,63,0062S00000xJP1SQAW,0,91,5,6/30/2021
p10-12,9080,0,500,Senior Account Executive,Newark,New York,Entertainment,100,16,0062S00000xJpcDQAS,0,0,3,12/31/2021
p0-3,184,1,350,Senior Account Executive,Cincinnati,Mid Western,Transportation,250,78,0062S00000xJq92QAC,1,1,0,12/9/2020
p0-3,69,0,NULL,Senior Account Executive,Dallas,Red River,Healthcare,13800,95,0062S00000xJq9WQAS,1,0,0,12/17/2020
p0-3,500,0,NULL,Senior Account Executive,Newark,New York,Finance,55311,96,0062S00000xJQaJQAW,1,0,1,12/21/2020
p4-6,3333,0,3333,Senior Account Executive,Raleigh,Coastal,Retail,74000,94,0062S00000xJqfNQAS,0,181,3,6/30/2021
p0-3,1010,0,702,Senior Account Executive,Oklahoma City,Rocky Mountain,Food & Beverage,5250,66,0062S00000xeQVHQA2,0,0,0,3/31/2021
p13+,500,0,500,Sales Development Representative                                                                    ,Grand Rapids,Mid Western,Education,3000,49,0062S00000xeRwnQAE,0,0,0,10/28/2022
p0-3,500,0,500,Senior Account Executive,Boston,New England,Healthcare,8376,83,0062S00000xeRyjQAE,0,0,0,5/31/2021
p0-3,11860,0,NULL,Senior Channel Account Manager,Partnership,Channel Sales,Technology,463785,95,0062S00000xeSCbQAM,0,0,0,3/31/2021
p10-12,500,0,500,Senior Account Executive,Philadelphia,Mid Atlantic,Meat Product Manufacturing,1050,51,0062S00000xeUUwQAM,0,0,0,1/31/2022
p0-3,53,0,500,Senior Account Executive,Los Angeles,SoCal,Consulting,3920,80,0062S00000xeUymQAE,0,0,0,4/30/2021
p0-3,464,0,NULL,Senior Account Executive,Orlando,Southern,Lodging,5,92,0062S00000xeW1cQAE,0,0,0,3/31/2021
p0-3,81,0,500,Senior Account Executive,Newark,New York,Banking,1057,59,0062S00000vYUwiQAG,1,24,1,8/24/2020
p13+,400,0,400,Account Executive,Inside Sales,SMB,Education,60,28,0062S00000vYV5VQAW,0,0,8,7/31/2022
p0-3,602,1,396,Account Executive,Inside Sales,SMB,Machinery,200,28,0062S00000vYXUrQAO,1,1,1,8/28/2020
p4-6,1,0,1,Senior Account Executive,Washington DC,Mid Atlantic,Federal,10000,58,0062S00000vYXz8QAG,1,0,5,12/31/2020
p13+,101,0,500,Senior Account Executive,Hartford,New England,Healthcare,22490,81,0062S00000vYY72QAG,0,283,8,12/31/2021
p4-6,598,1,485,Account Executive,Inside Sales,SMB,Machinery,250,30,0062S00000vYPH1QAO,1,81,4,11/20/2020
p7-9,148,1,300,Account Executive,Inside Sales,SMB,Retail,800,33,0062S00000vYPRBQA4,1,75,8,3/15/2021
p0-3,300,1,300,Senior Account Executive,Grand Rapids,Mid Western,Education,50,22,0062S00000vYQGOQA4,1,1,0,7/10/2020
p10-12,32810,0,1000,Account Executive,Cleveland,Mid Western,Healthcare,6000,83,0062S00000vYQJmQAO,0,273,8,7/30/2021
p0-3,384,0,500,Senior Account Executive,Newark,New York,RELIGIOUS ORGANIZATIONS,6000,47,0062S00000vXuDVQA0,1,0,1,7/8/2020
p10-12,2000,0,2000,Senior Account Executive,St Louis,Central,Insurance,47300,96,0062S00000vXuEYQA0,0,273,9,6/30/2021
p0-3,259,0,NULL,Customer Success Manager,Partnership,Channel Sales,Consulting,207,32,0062S00000vXumfQAC,1,0,0,6/18/2020
p7-9,500,0,NULL,Senior Account Executive,Oklahoma City,Rocky Mountain,Construction,1738,72,0062S00000tzT86QAE,1,0,9,7/31/2020
p4-6,493,0,493,Senior Account Executive,Newark,New York,Telecom / Communication Services,144500,94,0062S00000tzTsYQAU,1,8,6,4/8/2020
p0-3,911,1,0,Senior Account Executive,Hartford,New England,Hospitals,2632,61,0062S00000tzTwzQAE,1,5,2,12/5/2019
p0-3,6546,1,3136,Senior Account Executive,Richmond,Coastal,Healthcare,200,36,0062S00000tzUdeQAE,1,0,2,12/31/2019
p7-9,323,0,NULL,Senior Account Executive,Newark,New York,Consulting,1301,28,0062S00000tzVAOQA2,1,193,7,5/11/2020
p0-3,209,0,NULL,Senior Account Executive,Enterprise,Enterprise,Transportation,10000,93,0062S00000tzW3dQAE,1,47,2,12/17/2019
p13+,1,0,50,Senior Account Executive,Louisville,Coastal,Information Technology Services,250,24,0064400000pjuVCAAY,1,441,15,11/15/2019
p7-9,2998,0,10000,Senior Account Executive,Enterprise,Enterprise,Chemicals,13000,95,0064400000pjuxgAAA,1,180,8,4/30/2019
p13+,500,0,NULL,Account Executive,Inside Sales,SMB,Transportation,2,21,0064400000pjvViAAI,1,731,28,12/31/2020
p13+,1571,0,500,Senior Account Executive,Charlotte,Coastal,Healthcare,10000,85,0064400000pjvzYAAQ,1,365,13,9/30/2019
p13+,500,0,500,Senior Account Executive,Raleigh,Coastal,Government,526,33,0064400000pjxJ1AAI,1,0,15,11/25/2019
p0-3,588,0,500,Senior Account Executive,Newark,New York,Banking,260,64,0064400000pjxO1AAI,1,0,0,8/29/2018
p0-3,32500,0,NULL,Hardware Consultant/Sales,Support,Customer Success,Telecommunications,170,29,0064400000pjz7rAAA,1,0,0,8/29/2018
p4-6,1,0,1,Director of Channel Sales,Enterprise,Enterprise,Retail,2900,48,0064400000pjzddAAA,1,0,4,12/31/2018
p0-3,500,0,500,Director of Channel Sales,Partnership,Channel Sales,Other,12000,100,0064400000pjzf5AAA,1,0,2,10/1/2018
p0-3,291,0,500,Senior Account Executive,Newark,New York,Consulting,400,29,0062S00000vNUhcQAG,1,0,0,2/14/2020
p0-3,2547,0,800,Customer Success Manager,Support,Customer Success,Healthcare,700,47,0062S00000vNumQQAS,1,87,3,6/26/2020
p0-3,115,1,NULL,Senior Account Executive,St Louis,Central,Manufacturing,115100,95,0062S00000vNvC9QAK,1,41,2,5/11/2020
p13+,751,0,500,Senior Account Executive,Detroit,Mid Western,Education,887,35,0062S00000vNvLLQA0,0,426,12,5/31/2021
p4-6,500,0,500,Regional Sales Manager,Raleigh,Coastal,Engineering,1800,37,0062S00000vNW2qQAG,1,0,5,7/10/2020
p0-3,50,1,25,Customer Success Manager,Support,Customer Success,Technology,50,29,0062S00000vNwwvQAC,1,0,0,3/10/2020
p4-6,500,0,500,Senior Account Executive,Raleigh,Coastal,Healthcare,7,26,0062S00000vNXR8QAO,1,46,4,6/15/2020
p0-3,17,1,NULL,NULL,Philadelphia,Mid Atlantic,Legal Services,1047,51,0062S00000vNxYvQAK,1,0,0,3/5/2020
p0-3,1842,0,NULL,Senior Account Executive,Dallas,Red River,Manufacturing,17000,95,0062S00000vOGvMQAW,1,91,3,6/30/2020
p10-12,500,0,NULL,Senior Account Executive,Hartford,New England,Insurance,16900,96,0062S00000vOhETQA0,1,0,12,4/30/2021
p4-6,500,0,500,Senior Account Executive,Newark,New York,Retail,4400,40,0062S00000vOHhwQAG,1,0,4,7/13/2020
p0-3,289,0,50,Senior Account Executive,San Antonio,Red River,Other,700,36,0062S00000vOIetQAG,1,0,3,6/15/2020
p0-3,3923,0,4492,Customer Success Manager,Partnership,Channel Sales,Entertainment,6500,47,0062S00000vOigPQAS,1,12,3,8/12/2020
p7-9,530,1,7396,Senior Account Executive,Tampa,Southern,Insurance,226,33,0062S00000vOIlaQAG,1,1,7,10/30/2020
p4-6,1500,0,500,Senior Account Executive,Salt Lake City,Rocky Mountain,Transportation,900,33,0062S00000vOjdvQAC,1,73,4,9/11/2020
p7-9,700,0,700,Senior Account Executive,Minneapolis,Central,Consulting,145,24,0062S00000txm13QAA,1,29,9,5/29/2020
p13+,100,0,100,NULL,Grand Rapids,Mid Western,Retail,750,34,0062S00000txMHBQA2,0,0,20,1/31/2021
p4-6,500,0,NULL,Senior Account Executive,Chicago,Central,Other,175,74,0062S00000tlAN6QAM,1,0,6,12/31/2019
p13+,500,0,500,Senior Account Executive,Cleveland,Mid Western,Retail,561,37,0062S00000tlbW5QAI,1,0,28,11/30/2021
p0-3,34169,0,20000,Senior Account Executive,Denver,Rocky Mountain,Banking,10000,27,0062S00000tlE8bQAE,1,31,1,7/31/2019
p0-3,2002,0,2500,Senior Account Executive,Tampa,Southern,Manufacturing,2840,80,0062S00000tlEVaQAM,1,0,2,8/31/2019
p0-3,500,0,500,Senior Account Executive,Boston,New England,Colleges & Universities,425,32,0062S00000tlF38QAE,1,0,2,8/15/2019
p7-9,1544,1,3472,Senior Account Executive,Orlando,Southern,Education,2839,49,0062S00000tksDdQAI,1,0,9,2/25/2020
p10-12,2943,1,15000,Senior Account Executive,Oklahoma City,Rocky Mountain,Other,42,22,0062S00000tkSEZQA2,1,273,11,4/30/2020
p4-6,2349,0,2349,NULL,Newark,New York,Manufacturing,1500,67,0062S00000tktEmQAI,1,92,5,10/31/2019
p0-3,250,0,250,Senior Account Executive,Washington DC,Mid Atlantic,Defense & Aerospace,264,29,0062S00000tkTeOQAU,1,0,1,6/28/2019
p13+,500,0,500,Senior Account Executive,Boston,New England,Business Services,538,36,0062S00000tktFfQAI,0,506,22,4/30/2021
p0-3,500,0,500,Purchasing Agent,Grand Rapids,Mid Western,Consulting,9,28,0062S00000tkTJuQAM,1,60,2,7/31/2019
p0-3,1917,0,0,Internal Partnership Manager,Partnership,Channel Sales,Manufacturing,6080,80,0062S00000tkTTGQA2,1,0,0,5/31/2019
p0-3,500,0,500,Senior Account Executive,Raleigh,Coastal,Consulting,4300,91,0062S00000tkudsQAA,1,30,3,8/30/2019
p0-3,1040,1,1040,Senior Account Executive,Raleigh,Coastal,Consulting,1800,41,0062S00000tkuHwQAI,1,2,1,6/14/2019
p7-9,500,0,500,Senior Account Executive,Enterprise,Enterprise,Healthcare,540,42,0062S00000tkV9IQAU,1,163,7,12/10/2019
p0-3,5451,0,500,Senior Account Executive,Boston,New England,Insurance,5191,81,0062S00000tkVTmQAM,1,0,1,6/5/2019
p0-3,40,1,50,Senior Account Executive,Denver,Rocky Mountain,Technology,130,28,0062S00000tkw0OQAQ,1,1,0,6/18/2019
p13+,970,0,2000,Enterprise Account Executive,Enterprise,Enterprise,Not For Profit,9607,54,0062S00000tkWbXQAU,0,731,22,5/31/2021
p13+,500,0,NULL,Senior Account Executive,Richmond,Coastal,Insurance,3112,81,0062S00000tkWfyQAE,1,0,35,4/30/2022
p4-6,24090,1,5000,Senior Account Executive,Enterprise,Enterprise,Electronics,22500,95,0062S00000tkWkyQAE,1,56,4,9/30/2019
p0-3,75,0,500,Senior Account Executive,San Antonio,Red River,Consulting,70,28,0062S00000tkwsuQAA,1,70,3,9/30/2019
p0-3,792,1,433,Regional Sales Manager,Raleigh,Coastal,Healthcare,6000,85,0062S00000tkwVHQAY,1,10,3,9/9/2019
p0-3,2823,0,500,Senior Account Executive,Washington DC,Mid Atlantic,Government,19000,98,0062S00000tkwXhQAI,1,61,2,8/30/2019
p0-3,1498,1,500,Senior Account Executive,Charlotte,Coastal,Telecommunications,200,29,0062S00000tkx0ZQAQ,1,17,1,7/17/2019
p0-3,500,0,500,Senior Account Executive,Philadelphia,Mid Atlantic,Finance,1600,39,0062S00000tlG26QAE,1,68,3,9/30/2019
p13+,6000,0,6000,Enterprise Account Executive,Enterprise,Enterprise,Banking,0,59,0062S00000tlIvmQAE,0,365,21,12/31/2021
p10-12,500,0,500,Senior Account Executive,Miami,Southern,Hospitality,100,20,0062S00000tlJZ8QAM,1,9,10,4/9/2020
p4-6,1543,1,1266,Senior Account Executive,Nashville,Coastal,Healthcare,6000,85,0062S00000tlLDOQA2,1,123,4,10/31/2019
p0-3,60,1,NULL,Internal Accounts Manager,Support,Customer Success,Retail,100,20,0062S00000tlLKAQA2,1,3,0,6/28/2019
p7-9,500,0,500,Senior Account Executive,Philadelphia,Mid Atlantic,Manufacturing,10400,95,0062S00000tlMKVQA2,1,0,9,3/31/2020
p7-9,3000,0,3000,Senior Account Executive,Newark,New York,Insurance,5008,81,0062S00000vOJirQAG,1,0,9,1/22/2021
p0-3,424,0,NULL,Customer Success Manager,Partnership,Channel Sales,Technology,70,33,0062S00000vOjRLQA0,1,14,3,8/18/2020
p13+,500,0,500,Senior Account Executive,Charlotte,Coastal,Machinery,900,37,0062S00000vOJThQAO,0,0,11,12/31/2022
p7-9,131,0,50,NULL,Grand Rapids,Mid Western,Entertainment,525,33,0062S00000vOJUQQA4,0,245,11,12/31/2020
p7-9,457,0,NULL,Senior Channel Account Manager,Partnership,Channel Sales,Retail,10,19,0062S00000vOJXjQAO,1,94,7,11/2/2020
p13+,500,0,500,Senior Account Executive,Boston,New England,Technology,3113,67,0062S00000vOk7DQAS,0,365,10,12/31/2021
p10-12,500,0,500,Senior Account Executive,Newark,New York,Manufacturing,30400,95,0062S00000vOK7mQAG,1,95,10,2/3/2021
p0-3,454,0,454,Senior Account Executive,Los Angeles,SoCal,Mental Health & Substance Abuse Services,280,33,0062S00000vOKruQAG,1,0,2,6/19/2020
p0-3,141500,0,NULL,Hardware Account Manager,Support,Customer Success,Other,4,24,0062S00000vOL2dQAG,1,0,0,4/14/2020
p13+,500,0,500,Senior Account Executive,Birmingham,Southern,Healthcare,5000,61,0062S00000vNyCQQA0,0,273,12,6/30/2021
p0-3,30,1,89,Informatics Manager,Grand Rapids,Mid Western,Engineering,55,24,0062S00000vNYEAQA4,1,0,3,5/7/2020
p4-6,500,0,500,Senior Account Executive,Dallas,Red River,Utilities,8860,72,0062S00000vNYEtQAO,1,61,4,6/30/2020
p4-6,300,0,NULL,Senior Account Executive,Los Angeles,SoCal,Banks & Credit Unions,450,35,0062S00000vNZCyQAO,1,71,4,6/10/2020
